story_id,sentence_id,characters,confidences
1,0,['petani'],[-1.0]
1,3,['petani'],[-1.0]
1,12,['Petani'],[-1.0]
1,13,['ikan'],[-1.0]
1,15,['petani'],[-1.0]
1,16,['Pak'],[-1.0]
1,18,['gadis'],[-1.0]
1,19,['Puteri'],[-1.0]
1,20,['Petani'],[-1.0]
1,21,['Puteri'],[-1.0]
1,23,"['desa', 'penduduk desa']","[-1.0, -1.0]"
1,24,['bidadari'],[-1.0]
1,25,['Petani'],[-1.0]
1,26,['suami'],[-1.0]
1,29,['petani'],[-1.0]
1,30,"['petani', 'Puteri']","[-1.0, -1.0]"
1,33,['Putera'],[-1.0]
1,35,"['Putera', 'ayahnya']","[-1.0, -1.0]"
1,37,"['istri petani', 'suaminya']","[-1.0, -1.0]"
1,39,"['petani', 'istrinya']","[-1.0, -1.0]"
1,40,['Kanda'],[-1.0]
1,41,['ayah'],[-1.0]
1,43,"['petani', 'Putera']","[-1.0, -1.0]"
1,44,['Putera'],[-1.0]
1,45,"['Petani', 'Putera']","[-1.0, -1.0]"
1,47,['Putera'],[-1.0]
1,48,['petani'],[-1.0]
1,52,"['Putera', 'istrinya']","[-1.0, -1.0]"
2,1,"['Sultan Muhayat Syah', 'Putri Hijau']","[-1.0, -1.0]"
2,2,['Sultan'],[-1.0]
2,3,"['Mambang Jazid', 'Mambang Khayali', 'Putri Hijau', 'hijau']","[-1.0, -1.0, -1.0, -1.0]"
2,4,['Putri Hijau'],[-1.0]
2,5,['Putri Hijau'],[-1.0]
2,6,['Sultan Aceh'],[-1.0]
2,7,['Sultan Aceh'],[-1.0]
2,8,['putri cantik'],[-1.0]
2,9,"['Sultan Aceh', 'Putri Hijau']","[-1.0, -1.0]"
2,10,['putri'],[-1.0]
2,11,['Putri Hijau'],[-1.0]
2,12,['Sultan Aceh'],[-1.0]
2,14,['Sultan Aceh'],[-1.0]
2,16,['Sultan Aceh'],[-1.0]
2,19,['prajurit Deli'],[-1.0]
2,20,['Sultan Aceh'],[-1.0]
2,21,['Mambang Khayali'],[-1.0]
2,25,['Putri Hijau'],[-1.0]
2,26,"['Mambang Jazid', 'Sultan Aceh', 'Putri Hijau', 'Aceh']","[-1.0, -1.0, -1.0, -1.0]"
2,27,['putri'],[-1.0]
2,28,['Sultan Aceh'],[-1.0]
2,29,['Putri Hijau'],[-1.0]
2,30,"['Putri Hijau', 'abangnya', 'Mambang Jazid']","[-1.0, -1.0, -1.0]"
2,31,['abangnya'],[-1.0]
2,32,"['Mambang Jazid', 'Mambang Jazid', 'Mambang Jazid', 'abangku']","[-1.0, -1.0, -1.0, -1.0]"
2,33,['Sultan Aceh'],[-1.0]
2,37,['Putri Hijau'],[-1.0]
2,38,"['naga raksasa', 'naga']","[-1.0, -1.0]"
2,39,['Sultan Aceh'],[-1.0]
2,40,['Putri Hijau'],[-1.0]
2,41,"['Naga', 'Putri Hijau']","[-1.0, -1.0]"
2,42,['Putri Hijau'],[-1.0]
2,44,['Putri Hijau'],[-1.0]
3,2,"['Seruni', 'kembang desa']","[-1.0, -1.0]"
3,4,['Seruni'],[-1.0]
3,6,"['Seruni', 'Toki']","[-1.0, -1.0]"
3,7,"['ayah', 'ibunya']","[-1.0, -1.0]"
3,8,['Seruni'],[-1.0]
3,10,['Toki'],[-1.0]
3,11,['Seruni'],[-1.0]
3,13,['Seruni'],[-1.0]
3,16,['Seruni'],[-1.0]
3,17,"['Toki', 'majikannya']","[-1.0, -1.0]"
3,18,['Seruni'],[-1.0]
3,19,['Tuhan'],[-1.0]
3,20,['Seruni'],[-1.0]
3,21,['Yang Maha Kuasa'],[-1.0]
3,22,['Seruni'],[-1.0]
3,26,['Seruni'],[-1.0]
3,28,['Seruni'],[-1.0]
3,29,"['Toki', 'majikannya']","[-1.0, -1.0]"
3,30,['Toki'],[-1.0]
3,32,['Seruni'],[-1.0]
3,34,['Seruni'],[-1.0]
3,35,['batu'],[-1.0]
3,37,['Toki'],[-1.0]
3,38,['orang tua Seruni'],[-1.0]
3,39,['Anjing'],[-1.0]
3,40,['Pasangan suami istri'],[-1.0]
3,41,['Toki'],[-1.0]
3,42,['tetangga'],[-1.0]
3,43,"['tetangga', 'Toki']","[-1.0, -1.0]"
3,45,['Toki'],[-1.0]
3,46,"['orang tua', 'Seruni', 'Seruni']","[-1.0, -1.0, -1.0]"
3,47,['batu'],[-1.0]
3,49,['ibunya'],[-1.0]
3,50,"['Pak', 'Seruni']","[-1.0, -1.0]"
3,51,['ibu'],[-1.0]
3,52,['Bu'],[-1.0]
3,54,['ayah Seruni'],[-1.0]
3,55,['tetangga'],[-1.0]
3,56,['ayah'],[-1.0]
3,57,['Seruni'],[-1.0]
3,58,"['ayah', 'istrinya']","[-1.0, -1.0]"
3,61,['Seruni'],[-1.0]
3,63,['penduduk'],[-1.0]
3,64,['Seruni'],[-1.0]
3,65,['Seruni'],[-1.0]
3,68,['Seruni'],[-1.0]
4,0,['janda tua'],[-1.0]
4,4,['penduduk kampung'],[-1.0]
4,11,['penduduk'],[-1.0]
4,12,['majikan'],[-1.0]
4,13,['ibu'],[-1.0]
4,15,['majikannya'],[-1.0]
4,16,"['Sampuraga', 'ibu']","[-1.0, -1.0]"
4,17,['Bu'],[-1.0]
4,20,['ibunya'],[-1.0]
4,21,['Bu'],[-1.0]
4,22,['penduduk'],[-1.0]
4,23,"['ibu', 'anakku']","[-1.0, -1.0]"
4,24,"['ibu', 'ibu', 'ibu']","[-1.0, -1.0, -1.0]"
4,25,['ibu'],[-1.0]
4,26,['Bu'],[-1.0]
4,27,['ibu'],[-1.0]
4,28,['Bu pinta'],[-1.0]
4,30,['ibunya'],[-1.0]
4,32,['ibunya'],[-1.0]
4,33,['Bu'],[-1.0]
4,34,"['Ibu', 'ibunya']","[-1.0, -1.0]"
4,36,['ibunya'],[-1.0]
4,38,"['ibu', 'anaknya', 'anakku']","[-1.0, -1.0, -1.0]"
4,39,['Tuhan'],[-1.0]
4,40,['ibunya'],[-1.0]
4,45,['Raja Sirambas'],[-1.0]
4,46,['raja'],[-1.0]
4,47,['Sampuraga'],[-1.0]
4,48,['raja'],[-1.0]
4,51,['raja'],[-1.0]
4,52,['Tuan'],[-1.0]
4,53,['putri Tuan jawabnya'],[-1.0]
4,56,['anaknya'],[-1.0]
4,57,['Sampuraga'],[-1.0]
4,58,['ibu'],[-1.0]
4,59,"['anaknya', 'anaknya']","[-1.0, -1.0]"
4,63,['putri cantik'],[-1.0]
4,64,"['ibu', 'ibu', 'Nak']","[-1.0, -1.0, -1.0]"
4,67,['ibu'],[-1.0]
4,69,"['pengawal', 'ibunya']","[-1.0, -1.0]"
4,70,['ibunya'],[-1.0]
4,72,"['istrinya', 'ibunya']","[-1.0, -1.0]"
4,73,['wanita tua'],[-1.0]
4,74,['ibuku'],[-1.0]
4,75,['ibu'],[-1.0]
4,78,['ibu'],[-1.0]
4,80,['ibumu'],[-1.0]
4,85,['ibuku'],[-1.0]
4,86,['Ibuku'],[-1.0]
4,88,['ibunya'],[-1.0]
4,89,"['ibu', 'ibu']","[-1.0, -1.0]"
4,92,['istrinya'],[-1.0]
5,3,['Buyung Besar'],[-1.0]
5,7,['Datuk Penghulu'],[-1.0]
5,8,['Datuk Penghulu'],[-1.0]
5,9,['Buyung Besar'],[-1.0]
5,10,['Datuk Penghulu'],[-1.0]
5,11,"['Besar', 'besar']","[-1.0, -1.0]"
5,12,['Buyung Besar'],[-1.0]
5,14,['penduduk'],[-1.0]
5,15,['penduduk'],[-1.0]
5,16,['Buyung Besar'],[-1.0]
5,18,['Penduduk'],[-1.0]
5,19,['Datuk Penghulu'],[-1.0]
5,21,['Besar'],[-1.0]
5,22,['Besar'],[-1.0]
5,26,['Buyung Besar'],[-1.0]
5,27,['putri kerajaan laut'],[-1.0]
5,28,['Putri'],[-1.0]
5,30,"['Buyung Besar', 'istrinya']","[-1.0, -1.0]"
5,33,['Datuk Penghulu'],[-1.0]
5,35,['Buyung Besar'],[-1.0]
5,36,"['Datuk Penghulu', 'putri laut']","[-1.0, -1.0]"
5,37,"['warga', 'Datuk Penghulu']","[-1.0, -1.0]"
5,38,['Datuk Penghulu'],[-1.0]
5,39,"['Datuk Penghulu', 'putri']","[-1.0, -1.0]"
5,40,"['Buyung Besar', 'Datuk', 'Datuk Penghulu']","[-1.0, -1.0, -1.0]"
6,0,['Syekh'],[-1.0]
6,1,['Datuk Kejuruan'],[-1.0]
6,2,"['Datuk Malim Panjang', 'Datuk Kejuruan', 'Panjang']","[-1.0, -1.0, -1.0]"
6,5,['Tuhan Yang Maha Esa'],[-1.0]
6,7,"['Tuhan', 'Datuk Kejuruan']","[-1.0, -1.0]"
6,9,['istri Datuk Kejuruan'],[-1.0]
6,10,"['Datuk Kejuruan', 'Amat Lincah', 'orang kepercayaannya', 'Datuk Malim Panjang']","[-1.0, -1.0, -1.0, -1.0]"
6,11,"['Datuk Malim Panjang', 'Datuk Malim Panjang', 'Siti Ensah']","[-1.0, -1.0, -1.0]"
6,13,"['Jibau', 'Nogong', 'Siti Ensah']","[-1.0, -1.0, -1.0]"
6,14,"['Datuk Kejuruan', 'Datuk Malim Panjang']","[-1.0, -1.0]"
6,15,"['ibu Si Jibau', 'Si', 'Jibau']","[-1.0, -1.0, -1.0]"
