story_id,person,aliases
1,Tokoh-1,"['ayah', 'pak', 'suami']"
1,Tokoh-2,"['gadis', 'puteri']"
1,Tokoh-3,"['kanda', 'putera']"
1,Tokoh-4,"['istri', 'istri petani']"
1,Tokoh-5,"['desa', 'penduduk desa']"
1,Tokoh-6,['bidadari']
1,Tokoh-7,['petani']
1,Tokoh-8,['ikan']
2,Tokoh-1,"['putri cantik', 'putri hijau']"
2,Tokoh-2,['abang']
2,Tokoh-3,"['sultan', 'sultan muhayat syah']"
2,Tokoh-4,['mambang khayali']
2,Tokoh-5,['mambang jazid']
2,Tokoh-6,['prajurit deli']
2,Tokoh-7,"['naga', 'naga raksasa']"
2,Tokoh-8,"['aceh', 'sultan aceh']"
2,Tokoh-9,['hijau']
3,Tokoh-1,"['bu', 'ibu', 'istri', 'orang tua seruni']"
3,Tokoh-2,"['ayah', 'ayah seruni', 'orang tua seruni', 'pak', 'pasangan suami istri']"
3,Tokoh-3,['orang tua seruni']
3,Tokoh-4,['orang tua']
3,Tokoh-5,['tetangga']
3,Tokoh-6,"['tuhan', 'yang maha kuasa']"
3,Tokoh-7,['kembang desa']
3,Tokoh-8,['penduduk']
3,Tokoh-9,['majikan']
3,Tokoh-10,['anjing']
3,Tokoh-11,['seruni']
3,Tokoh-12,['batu']
3,Tokoh-13,['toki']
4,Tokoh-1,"['bu', 'bu pinta', 'ibu', 'istri']"
4,Tokoh-2,"['raja', 'raja sirambas']"
4,Tokoh-3,"['anak', 'nak']"
4,Tokoh-4,"['putri cantik', 'putri tuan jawabnya']"
4,Tokoh-5,['tuhan']
4,Tokoh-6,"['penduduk', 'penduduk kampung']"
4,Tokoh-7,['wanita tua']
4,Tokoh-8,['sampuraga']
4,Tokoh-9,['janda tua']
4,Tokoh-10,['pengawal']
4,Tokoh-11,['majikan']
4,Tokoh-12,['tuan']
5,Tokoh-1,['istri']
5,Tokoh-2,"['putri', 'putri kerajaan laut', 'putri laut']"
5,Tokoh-3,"['datuk', 'datuk penghulu']"
5,Tokoh-4,"['besar', 'buyung besar']"
5,Tokoh-5,"['penduduk', 'warga']"
6,Tokoh-1,"['bunda', 'ibu', 'ibu si jibau', 'istri datuk kejuruan']"
6,Tokoh-2,['ayah']
6,Tokoh-3,"['datuk orang kaya muda', 'kaka', 'kakak', 'kaya']"
6,Tokoh-4,['adik']
6,Tokoh-5,['kakek']
6,Tokoh-6,"['tuhan', 'tuhan yang maha esa']"
6,Tokoh-7,['orang kepercayaannya']
6,Tokoh-8,"['datuk malim panjang', 'panjang']"
6,Tokoh-9,['datuk kejuruan']
6,Tokoh-10,['pemuda gagah']
6,Tokoh-11,['amat lincah']
6,Tokoh-12,['siti ensah']
6,Tokoh-13,['nogong']
6,Tokoh-14,['jibau']
6,Tokoh-15,['syekh']
6,Tokoh-16,['si']
7,Tokoh-1,"['ibu', 'ibu ahmad', 'orang tua']"
7,Tokoh-2,"['ayah', 'orang tua', 'pak ahmad']"
7,Tokoh-3,['puteri bungsu']
7,Tokoh-4,['puteri sulung']
7,Tokoh-5,['raja']
7,Tokoh-6,['gajah putih kerajaan']
7,Tokoh-7,"['pawang merbuk', 'wak', 'wak pawang', 'wak pawang merbuk']"
7,Tokoh-8,"['burung', 'burung merbuk']"
7,Tokoh-9,['lelaki tua']
7,Tokoh-10,['muhammad']
7,Tokoh-11,['firman']
7,Tokoh-12,['ahmad']
7,Tokoh-13,['hai']
8,Tokoh-1,['raja sitanggang']
8,Tokoh-2,['raja siali']
8,Tokoh-3,['istri partiga tiga sipunjung']
8,Tokoh-4,"['adik', 'adik tirinya']"
8,Tokoh-5,"['ayam jago partiga tiga sipunjung', 'partiga tiga sipunjung', 'tiga sipunjung']"
8,Tokoh-6,['yang maha kuasa']
8,Tokoh-7,['suhi boh bosar']
8,Tokoh-8,['warga kampung']
8,Tokoh-9,"['ular', 'ular sendei']"
8,Tokoh-10,['anggaranim']
8,Tokoh-11,['ular besar']
8,Tokoh-12,['nan sorma']
8,Tokoh-13,['ayam raja']
