story_id,person,aliases,type,mention_count,word_count,merged_text
7,Tokoh-1,"['ibu ahmad', 'ibu']",others,3,40,"Beberapa hari kemudian , Ibu Ahmad dan Muhammad mengambil keputusan sendiri . Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing . Daripada terbuang sia-sia , ibu memotong dan memanggangnya . ''"
7,Tokoh-10,"['burung merbuk', 'burung']",others,11,177,"Pada suatu sore , dalam perjalanan pulang dari mengaji , mereka melihat seekor burung merbuk yang berulang kali terbang rendah di hadapan mereka . Merasa penasaran , mereka pun mengejar dan berhasil menangkap burung itu . Burung merbuk tersebut sangat indah , dengan bulu yang berkilauan seperti emas . `` Ayah , tadi ketika kami pulang mengaji , kami menangkap seekor burung merbuk yang sangat indah . Karena telah lama dirawat , burung itu menjadi sangat jinak dan tidak perlu diikat . Kemana pun Ahmad dan Muhammad pergi , burung itu selalu mengikuti mereka , seolah-olah tidak bisa berpisah . Di kampung itu , hiduplah seorang pawang burung merbuk yang setiap hari pergi ke hutan untuk memikat burung . Di kampung ini , ada seekor burung merbuk yang sangat bertuah . '' Di sana , ia melihat kedua anak itu sedang bermain dengan burung merbuk kesayangan mereka . Saat kedua anaknya sedang pergi ke sawah , ia menangkap burung merbuk tersebut dan menyembelihnya . Namun , mereka akhirnya memutuskan untuk memakan burung yang telah dipanggang itu ."
7,Tokoh-11,['lelaki tua'],others,2,27,"Dalam mimpinya , ia didatangi oleh seorang lelaki tua berjubah putih yang berkata Hai , Pawang Merbuk . Setelah berkata demikian , lelaki tua itu menghilang ."
7,Tokoh-12,['muhammad'],protagonist,19,240,"Anak sulung mereka bernama Ahmad , sementara anak bungsunya bernama Muhammad . Setiap pagi , kedua orang tua Ahmad dan Muhammad pergi ke sawah , dan kedua anak itu ikut membantu mereka . Ahmad dan Muhammad adalah anak-anak yang berbudi luhur , ramah terhadap tetangga , serta penyayang terhadap binatang . Itulah rutinitas harian Ahmad dan Muhammad yang berlangsung dengan penuh ketekunan . `` Baiklah , Ayah jawab Ahmad dan Muhammad dengan patuh . Kemana pun Ahmad dan Muhammad pergi , burung itu selalu mengikuti mereka , seolah-olah tidak bisa berpisah . Burung itu dimiliki oleh Ahmad dan Muhammad . '' Keesokan paginya , Wak Pawang Merbuk segera berangkat mencari rumah Ahmad dan Muhammad . `` Wa'alaikumussalam , Wak jawab Ahmad dan Muhammad . Namun , Ahmad dan Muhammad segera menolak Maaf , Wak . Beberapa hari kemudian , Ibu Ahmad dan Muhammad mengambil keputusan sendiri . `` Muhammad , aku merasa ada sesuatu yang buruk terjadi di rumah katanya . Muhammad pun merasakan hal yang sama . Ahmad dan Muhammad hampir pingsan karena kesedihan . Ahmad memakan kepala burung , sementara Muhammad memakan hatinya . Dengan hati yang hancur , Ahmad dan Muhammad meninggalkan rumah mereka di tengah malam . Sementara itu , Muhammad menemukan ranting ajaib yang bisa memenuhi keinginannya . Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu . Ahmad pun menjadi raja , sementara Muhammad menjadi menteri ."
7,Tokoh-13,['firman'],others,1,13,"Sementara itu , di sawah , Ahmad tiba-tiba merasakan firman tidak enak ."
7,Tokoh-14,['ahmad'],protagonist,17,207,"Anak sulung mereka bernama Ahmad , sementara anak bungsunya bernama Muhammad . Ahmad dan Muhammad adalah anak-anak yang berbudi luhur , ramah terhadap tetangga , serta penyayang terhadap binatang . Itulah rutinitas harian Ahmad dan Muhammad yang berlangsung dengan penuh ketekunan . tanya Ahmad penuh antusias . `` Baiklah , Ayah jawab Ahmad dan Muhammad dengan patuh . Kemana pun Ahmad dan Muhammad pergi , burung itu selalu mengikuti mereka , seolah-olah tidak bisa berpisah . Burung itu dimiliki oleh Ahmad dan Muhammad . '' Keesokan paginya , Wak Pawang Merbuk segera berangkat mencari rumah Ahmad dan Muhammad . `` Wa'alaikumussalam , Wak jawab Ahmad dan Muhammad . Namun , Ahmad dan Muhammad segera menolak Maaf , Wak . Sementara itu , di sawah , Ahmad tiba-tiba merasakan firman tidak enak . Ahmad dan Muhammad hampir pingsan karena kesedihan . Ahmad memakan kepala burung , sementara Muhammad memakan hatinya . Dengan hati yang hancur , Ahmad dan Muhammad meninggalkan rumah mereka di tengah malam . Ahmad akhirnya terpilih menjadi raja setelah gajah putih kerajaan menemukannya tertidur di bawah pohon . Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu . Ahmad pun menjadi raja , sementara Muhammad menjadi menteri ."
7,Tokoh-15,['hai'],others,1,18,"Dalam mimpinya , ia didatangi oleh seorang lelaki tua berjubah putih yang berkata Hai , Pawang Merbuk ."
7,Tokoh-2,['pak ahmad'],protagonist,3,58,"Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu . Pak Ahmad hampir setuju , karena mereka sangat membutuhkan uang , tetapi ia tidak bisa langsung mengambil keputusan . Tidak lama setelah itu , Pak Ahmad pulang dari sawah dan mengetahui kejadian tersebut ."
7,Tokoh-3,['puteri bungsu'],others,1,17,Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu .
7,Tokoh-4,['puteri sulung'],others,1,17,Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu .
7,Tokoh-5,['raja'],others,1,17,Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu .
7,Tokoh-6,['ayah'],others,7,107,"Dengan penuh kegembiraan , mereka segera pulang dan menunjukkan burung itu kepada ayah mereka . `` Ayah , tadi ketika kami pulang mengaji , kami menangkap seekor burung merbuk yang sangat indah . Bisakah Ayah membuatkan sangkarnya ? '' Ayah mereka tersenyum dan berkata Ayah tidak keberatan , tetapi sekarang Ayah sedang sibuk menyiapkan tempat penyimpanan padi kita . Setelah itu selesai , Ayah akan buatkan sangkar untuk burung kalian . '' `` Baiklah , Ayah jawab Ahmad dan Muhammad dengan patuh . Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu ."
7,Tokoh-7,['orang tua'],others,2,35,"Setiap pagi , mereka membantu orang tua di sawah , dan pada sore hari mereka pergi mengaji . Orang tua itu menjawab Barang siapa yang memakan kepala burung ini , ia akan menjadi raja ."
7,Tokoh-8,['gajah putih kerajaan'],others,1,15,Ahmad akhirnya terpilih menjadi raja setelah gajah putih kerajaan menemukannya tertidur di bawah pohon .
7,Tokoh-9,"['pawang merbuk', 'wak pawang', 'wak', 'wak pawang merbuk']",antagonist,11,148,"Orang-orang di kampung memanggilnya Wak Pawang Merbuk . Suatu malam , setelah pulang dari memikat burung , Wak Pawang Merbuk bermimpi . Dalam mimpinya , ia didatangi oleh seorang lelaki tua berjubah putih yang berkata Hai , Pawang Merbuk . Wak Pawang Merbuk bertanya Apakah tuah burung itu , dan siapa pemiliknya ? '' Wak Pawang Merbuk terbangun dengan perasaan heran dan penuh harapan . Keesokan paginya , Wak Pawang Merbuk segera berangkat mencari rumah Ahmad dan Muhammad . `` Wa'alaikumussalam , Wak jawab Ahmad dan Muhammad . Namun , Ahmad dan Muhammad segera menolak Maaf , Wak . Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu . `` Bagaimana jika dua-tiga hari lagi Wak Pawang datang kembali ? Dengan penuh ambisi , Wak Pawang Merbuk pulang sambil membayangkan dirinya menjadi raja ."
10,Tokoh-1,['ibu'],others,5,71,"Ketika sampai waktunya , Naga Sorai akan dikawinkan , ibundanya berkata kepadanya Ananda , puteri Raja Margolang sekarang sudah besar . `` Ibu menceritakan sebelum ia meninggal bahwa ayah mati dibunuh . `` Juga ibuku masih muda sekali ketika ia meninggal . `` Mertuaku jawab Sipakpak Kunal aku dikirim ibuku untuk meminang anak Tuanku yang sekarang sudah dewasa . '' `` Menantu Tuanku serupa benar dengan Adinda Tuanku , ibundanya ."
10,Tokoh-10,['menteri dalam negeri'],others,1,8,Kedatangan mereka disambut oleh Menteri Dalam Negeri .
10,Tokoh-11,['menteri pertahanan'],others,1,15,`` Saya harap Anda agak tenang dan tidak terburu nafsu kata Menteri Pertahanan memperingatkan .
10,Tokoh-12,['bunda'],others,1,14,"`` Bunda , ananda tidak mengenal calon mertua ananda , begitu pula permaisurinya ."
10,Tokoh-13,['anak raja'],others,2,31,"Akulah sekarang yang menjadi anak raja . Mereka khawatir rakyat Raja Margolang akan heran melihat seorang berpakaian seperti `` anak raja '' mendayung perahu , sedangkan budaknya duduk berpangku tangan ."
10,Tokoh-14,['adik'],others,1,22,"Sewaktu santapan berlangsung , Raja Margolang mendengarkan laporan tentang kesehatan adiknya , Permaisuri Haroharo , serta keadaan dalam negeri kerajaan iparnya ."
10,Tokoh-15,['orang tuaku'],others,1,13,"Orang tuaku lah yang mengatakan bahwa dia calon isteriku , lain tidak ."
10,Tokoh-16,['dewan penasihat raja margolang'],others,1,11,Dewan Penasihat Raja Margolang kemudian menyarankan agar pernikahan segera dilangsungkan .
10,Tokoh-17,['menantu raja margolang'],others,1,19,"Setiap kali diperingatkan , Sipakpak Kunal teringat bahwa ia bukan lagi seorang budak , melainkan menantu Raja Margolang ."
10,Tokoh-18,"['rakyat raja margolang', 'rakyat']",others,2,38,"Raja Margolang selanjutnya menunjuk pada keberuntungan rakyat yang tinggal di pesisir Danau Toba . Mereka khawatir rakyat Raja Margolang akan heran melihat seorang berpakaian seperti `` anak raja '' mendayung perahu , sedangkan budaknya duduk berpangku tangan ."
10,Tokoh-19,"['pembesar negara', 'pembesar kerajaannya', 'pembesar negeri']",others,3,65,"Bersama mereka ikut puteranya yang masih kecil NAGA SORAI dan sejumlah menteri serta pembesar negeri . Pada akhir sambutannya , Raja Margolang mengharapkan agar pada waktu yang akan datang , para menteri dan pembesar kerajaannya akan lebih banyak berkesempatan istirahat di Danau Toba untuk menyegarkan rohani dan jasmani mereka . Yang akan mengiringkan Naga Sorai ialah beberapa pembesar negara dan anggota keluarga serta budak-budak ."
10,Tokoh-2,"['puteri', 'puteri raja margolang', 'puteri margolang', 'puteri raja']",others,18,240,"Pada suatu hari , Raja Margolang mengadakan pesta besar di istananya untuk merayakan kelahiran seorang puterinya . Pada akhir pidatonya , Raja Haroharo mengharapkan semoga Raja Margolang berkenan mengawinkan puterinya itu kelak dengan putera Haroharo , Naga Sorai . Sebelum Raja Haroharo kembali ke Porsea , disepakati bahwa Naga Sorai kelak akan mempersunting puteri Raja Margolang . Ketika sampai waktunya , Naga Sorai akan dikawinkan , ibundanya berkata kepadanya Ananda , puteri Raja Margolang sekarang sudah besar . Jumpailah calon mertuamu , kakandaku itu , dan pinang puterinya . Ketika itu kami sepakat bahwa bila puterinya itu sudah dewasa , ananda akan mempersuntingnya . Aku akan memakai pakaian Nagai Sori dan meminang puteri Raja Margolang . Dipeluknya seorang tukang dayung yang disangkanya puteri yang akan dikawininya . Berduel memperebutkan puteri ? Kau tidak ada urusan dengan puteri . Dan puteri taruhannya . '' Kau kan tahu , puteri Raja Margolang hanya kulihat ketika aku masih anak-anak . Tidak lama setelah Sipakpak Kunal dan puteri Raja dikawinkan , hal-hal aneh mulai terjadi . Puteri Raja mulai curiga terhadap tingkah laku budak tersebut . Suatu hari , Puteri mendekati pondok tempat Nagai Sori sedang bermain seruling . Dengan air mata berlinangan , Puteri berkata Kaulah sebenarnya tunanganku , Nagai Sori . '' Setelah mengetahui kebenaran , Puteri mengusulkan untuk melarikan diri ke Siak Seri Indrapura . Nagai Sori dan Puteri Margolang akhirnya tiba di Siak Seri Indrapura dan memulai kehidupan baru ."
10,Tokoh-20,"['kerajaan', 'pembesar kerajaan']",others,2,34,"Setelah santap siang selesai , sidang kerajaan diteruskan di balai ruang , dihadiri oleh semua kerabat Raja dan para pembesar kerajaan . `` Dalam rombongan Ananda sebenarnya ikut tujuh orang pembesar Kerajaan Haroharo ."
10,Tokoh-21,['anggota rombongan'],others,4,52,"Tawanya yang keras membangunkan semua anggota rombongan . Karena belum puas tidur , semua anggota rombongan terlena lagi . Dalam waktu sekitar seperempat jam , anggota rombongan yang masih tidur nyenyak dilemparkannya seorang demi seorang ke dalam air . Untunglah semua anggota rombongan pandai berenang sehingga dapat mencapai daratan dengan selamat ."
10,Tokoh-22,['anggota keluarga'],others,1,15,Yang akan mengiringkan Naga Sorai ialah beberapa pembesar negara dan anggota keluarga serta budak-budak .
10,Tokoh-23,['tuanku syah alam'],others,3,39,"`` Tuanku Syah Alam , ampun beribu-ribu ampun . `` Tuanku Syah Alam , ampun beribu-ribu ampun katanya setelah melakukan sembah sebagaimana mestinya . `` Tuanku Syah Alam kata Nagai Sori setelah menyembah dengan hormat ampun beribu-ribu ampun ."
10,Tokoh-24,['perdana menteri'],others,1,10,`` Tunangan Anda tidak akan lari tambah Perdana Menteri .
10,Tokoh-25,['rakyat haroharo'],others,1,11,Dipujinya watak rakyat Haroharo yang jujur dan selalu berterus terang .
10,Tokoh-26,['penduduk daerah'],others,1,15,Tidak mengherankan penduduk daerah ini selalu dalam keadaan sehat dan mempunyai otak yang cerdas .
10,Tokoh-27,"['istana', 'pegawai istana']",others,2,33,"Tak lama kemudian , kepala rumah tangga istana memberitahukan bahwa santapan siang sudah tersedia . Bahkan , pada kunjungan terakhirnya , beberapa pegawai istana dipukulinya sampai luka-luka karena mereka dianggap lamban . ''"
